LRU,ATA,Message,Comp ID,Message1,Fault Logged,Status,Message Type,EICAS,Timer,Logic,Equation Description,Equation ID,Occurance Flag,Days Count,Priority,MHIRJ ISE Recommended Action,Additional Comments,MHIRJ ISE inputs,MEL or No-Dispatch
ACSC 2,21-61,9,A101,NO CH A/B XTALK BUS,"AIR,TAXI",FAILED/WIRING,Fault Message,CAS MESSAGE: R PACK FAULT (WHITE),10,ACSC2-62 OR ACSC2-11,No data is received on the RS422bus input from the oppositeChannel A or Channel B.,B1-005836,0,0,0,0,0,0,0
ACSC 2,21-61,10,A101,NO LA-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,ACSC2-9 AND ACSC2-60 AND NOT IC1A-1,Expected ARINC 429 data is eithermissing or no data is received oninput from the LA-IOC-6 bus. Theproblem may be either data missingon the bus or the bus itself(wiring).,B1-005837,0,0,0,0,0,0,0
ACSC 2,21-61,11,A101,NO LB-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,ACSC2-13 AND NOT IC1B-1,Expected ARINC 429 data is eithermissing or no data is received oninput from the LB-IOC-6 bus. Theproblem may be either data missingon the bus or the bus itself(wiring).,B1-005838,0,0,0,0,0,0,0
ACSC 2,21-61,12,A101,NO RA-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,ACSC1-10 AND ACSC2-61 AND NOT IC2A-1,Expected ARINC 429 data is eithermissing or no data is received oninput from the RA-IOC-6 bus. Theproblem may be either data missingon the bus or the bus itself(wiring).,B1-005839,0,0,0,0,0,0,0
ACSC 2,21-61,13,A101,NO RB-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,ACSC2-64 AND NOT IC2B-1,Expected ARINC 429 data is eithermissing or no data is received oninput from the RB-IOC-6 bus. Theproblem may be either data missingon the bus or the bus itself(wiring).,B1-005840,0,0,0,0,0,0,0
ACSC 2,21-61,14,A101,INVALID CONFIG STRAPPING,"AIR,TAXI",FAILED/WIRING,Service Message,,10,ACSC2-5 OR ACSC2-56,Read pin programming are notconsistent with data received fromother channels.,B1-005841,0,0,0,0,0,0,0
ACSC 2,21-61,15,A101,ISOL DRIVER FAULT,"AIR,TAXI",FAILED,Service Message,,10,ACSC2-44 AND ACSC2-95,Some component failure has beendetected. This failure does notcompletely prevent the ACSC2 tooperate the systems.,B1-005842,0,0,0,0,0,0,0
ACSC 2,21-61,16,A101,INTERNAL FAULT,"AIR,TAXI",FAILED,Service Message,,10,"[1 OF ACSC2-12, ACSC2-63, ACSC2-7, ACSC2-58, ACSC2-8,ACSC2-59]",Some component failure has beendetected. This failure does notcompletely prevent the ACSC2 tooperate the systems.,B1-005843,0,0,0,0,0,0,0
ACSC 2,21-61,17,A101,INTERNAL FAULT,"AIR,TAXI",FAILED/WIRING,Fault Message,,3,(ACSC2-35 AND NOT ACSC2-86) OR (ACSC2-36 ANDNOT ACSC2-87) OR (ACSC2-37 AND NOT ACSC2-88) OR (NOT ACSC2-35 AND ACSC2-86) OR (NOT ACSC2-36 ANDACSC2-87) OR (NOT ACSC2-37 AND ACSC2-88),Internal Fault,B1-005844,0,0,0,0,0,0,0
ACSC 2,21-61,18,A101,INVALID A/C CONFIG,"AIR,TAXI",FAILED/WIRING,Service Message,,10,ACSC2-33 OR ACSC2-84,Read Aircraft configuration. Pinprogramming data are notconsistent with data received fromother controller.,B1-046209,0,0,0,0,0,0,0
